,KNN accuracy on Resnet-50 embeddings,,,
Openness %,RTLSL (Ours),RTLSL (Adrew et al.),TLSL (Ours),TLSL (Adrew et al.)
90%,93.9516129,87.55,95.36290323,87.79
80%,95.36290323,90.22,92.74193548,90.46
70%,94.95967742,92.49,93.75,91.8
60%,93.14516129,93.02,95.36290323,93.88
50%,94.55645161,93.75,94.55645161,92.89
33%,93.34677419,94.36,93.9516129,94.06
25%,95.36290323,94.84,93.14516129,95.6
17%,92.13709677,91.26,94.75806452,92.73
10%,94.35483871,92.45,95.36290323,92.15
max,95.36290323,94.84,95.36290323,95.6
min,92.13709677,87.55,92.74193548,87.79